,Date_CD,Year,Season,WeekEnd,LastYear,LastSeason,LastWeekEnd,Date,LastDate,DaysRecency,ClientType,Staff,BLastStaff,RTLastStaff,StaffCancType,BLastServiceCode,BLastWomenMenService,BLastColorCutService,LastServiceCategory,LastServicePrice,LastServiceCost,ServiceCode,ServiceCancType,WomenMenService,ColorCutService,ServiceCategory,ServicePrice,ServiceCost,RTLastWomenMen,RTLastColorCutReciept,LastTotalAmount,LastTotalGST,LastTotalPST,WasProdPerch,IsCanceled,CancelDay,CancelWeekday,CanceledBy,Days,LastIsCanceled,LastCanceledBy,LastCancelWeekday,TotalClientCancellationsTillNow,TotalClientBookingsTillNow,CancellationPcnt
58,20180629,2018,Summer,1,2018.0,Summer,1.0,2018-06-29,2018-06-22,7.0,HighCancClient,JOANNE,JJ,JJ,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Woman,Cut,102.0,5.1,8.16,0.0,0,,,,,0.0,,,4.0,7,0.5714285714285714
59,20180623,2018,Summer,1,2018.0,Spring,1.0,2018-06-23,2018-05-11,43.0,MediumCancClient,JOANNE,BECKY,JOANNE,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Color,50.0,2.5,4.0,0.0,0,,,,,1.0,JOANNE,6.0,1.0,1,1.0
60,20180724,2018,Summer,0,2018.0,Summer,0.0,2018-07-24,2018-07-24,0.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,1,0.0
61,20180724,2018,Summer,0,2018.0,Summer,0.0,2018-07-24,2018-07-24,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,2,0.0
62,20180519,2018,Spring,1,,,,2018-05-19,,,MediumCancClient,JOANNE,,,HighCancStaff,,,,,,,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,,,,,0,
63,20180524,2018,Spring,0,2018.0,Spring,0.0,2018-05-24,2018-05-24,0.0,LowCancClient,JOANNE,JJ,JJ,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Woman,Cut,172.0,20.7,33.12,0.0,0,,,,,0.0,,,0.0,1,0.0
64,20180524,2018,Spring,0,2018.0,Spring,0.0,2018-05-24,2018-05-24,0.0,LowCancClient,JOANNE,JOANNE,JJ,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,Woman,Cut,172.0,20.7,33.12,0.0,0,,,,,0.0,,,0.0,3,0.0
65,20180106,2018,Winter,1,2018.0,Winter,1.0,2018-01-06,2018-01-06,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,3,0.0
66,20180717,2018,Summer,0,2018.0,Winter,0.0,2018-07-17,2018-02-06,161.0,LowCancClient,JOANNE,JOANNE,JOANNE,HighCancStaff,CHLPHC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Color,197.0,9.89,15.824,0.0,0,,,,,0.0,,,0.0,1,0.0
67,20180529,2018,Spring,0,2018.0,Spring,0.0,2018-05-29,2018-05-29,0.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,1.0,3,0.3333333333333333
68,20180529,2018,Spring,0,2018.0,Spring,0.0,2018-05-29,2018-05-29,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,1.0,5,0.2
69,20180720,2018,Summer,1,2018.0,Summer,1.0,2018-07-20,2018-06-15,35.0,LowCancClient,JOANNE,JOANNE,JOANNE,HighCancStaff,CTU,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Color,70.0,3.5,5.6,0.0,0,,,,,0.0,,,0.0,2,0.0
70,20180615,2018,Summer,1,2018.0,Spring,0.0,2018-06-15,2018-04-05,71.0,LowCancClient,JOANNE,JOANNE,JOANNE,HighCancStaff,CHLPL,Other,Other,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Other,162.0,26.6115,42.5784,0.0,0,,,,,0.0,,,0.0,1,0.0
71,20180713,2018,Summer,1,2018.0,Summer,1.0,2018-07-13,2018-06-15,28.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,10.0,3.0,KELLY,3.0,0.0,,,0.0,2,0.0
72,20180727,2018,Summer,1,2018.0,Summer,1.0,2018-07-27,2018-07-21,6.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,10.0,3.0,KELLY,17.0,0.0,,,1.0,5,0.2
73,20180106,2018,Winter,1,2018.0,Winter,1.0,2018-01-06,2018-01-06,0.0,LowCancClient,JOANNE,BECKY,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,1,0.0
74,20180713,2018,Summer,1,2018.0,Summer,1.0,2018-07-13,2018-07-13,0.0,LowCancClient,JOANNE,JJ,JJ,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Woman,Cut,102.0,18.0775,28.924,0.0,0,,,,,0.0,,,0.0,6,0.0
